datetime,dens_0,dens_0.5,dens_1,dens_1.5,dens_2,dens_2.5,dens_3,dens_3.5,dens_4,dens_4.5,dens_5,dens_5.5,dens_6,dens_6.5,dens_7,dens_7.5,dens_8,dens_8.5,dens_9,dens_9.5,dens_10,dens_10.5,dens_11,dens_11.5,dens_11.7,dens_12,dens_12.5,dens_13,dens_13.5,dens_14,dens_14.5,dens_15,dens_15.5,dens_16,dens_16.5,dens_17,dens_17.5,dens_17.7,dens_18,dens_18.5,dens_18.7,dens_19,dens_19.1,dens_19.2,dens_19.3,dens_19.5,dens_20,dens_20.1,dens_20.2,dens_20.3,dens_20.4,dens_20.5,dens_20.6,dens_20.9,dens_21,dens_21.1,dens_21.2,dens_21.3,dens_21.4,dens_21.5,dens_21.6,dens_21.7,dens_21.8,dens_21.9,dens_22,dens_22.1,dens_22.2,dens_22.3,dens_22.4,dens_22.5,dens_22.6,dens_22.8,dens_22.9,dens_23
2005-01-24 00:00:00,999.84,999.88,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89
2005-01-25 00:00:00,999.84,999.87,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89
2005-01-26 00:00:00,999.84,999.88,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89
2005-01-27 00:00:00,999.84,999.88,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89,999.89
2005-01-28 00:00:00,999.84,999.88,999.89,999.89,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-01-29 00:00:00,999.84,999.88,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-01-30 00:00:00,999.84,999.88,999.89,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-01-31 00:00:00,999.84,999.88,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-02-01 00:00:00,999.84,999.88,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-02-02 00:00:00,999.84,999.88,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-02-03 00:00:00,999.84,999.88,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-02-04 00:00:00,999.84,999.88,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-02-05 00:00:00,999.84,999.88,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2005-02-06 00:00:00,999.84,999.88,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
